iter	Passed	Remaining
464	752	865
465	753	863
466	755	862
467	756	860
468	758	858
469	759	856
470	760	854
471	762	852
472	763	850
473	764	848
474	766	847
475	767	845
476	768	843
477	770	841
478	771	839
479	772	837
480	773	835
481	775	833
482	776	831
483	777	829
484	779	827
485	780	825
486	782	824
487	783	822
488	785	820
489	786	818
490	787	816
491	789	815
492	790	813
493	791	811
494	793	809
495	794	807
496	796	805
497	797	803
498	798	802
499	800	800
500	801	798
501	803	796
502	804	794
503	805	792
504	807	791
505	808	789
506	809	787
507	810	785
508	812	783
509	813	781
510	815	780
511	816	778
512	818	776
513	819	774
514	820	772
515	822	771
516	823	769
517	824	767
518	826	765
519	827	764
520	829	762
521	830	760
522	831	758
523	833	756
524	834	755
525	835	753
526	837	751
527	838	749
528	839	747
529	841	745
530	842	744
531	843	742
532	845	740
533	846	738
534	847	736
535	849	734
536	850	733
537	851	731
538	852	729
539	854	727
540	855	725
541	856	723
542	857	722
543	859	720
544	860	718
545	862	717
546	863	715
547	865	713
548	866	711
549	868	710
550	869	708
551	870	706
552	872	705
553	873	703
554	874	701
555	876	699
556	877	698
557	878	696
558	880	694
559	881	692
560	882	690
561	884	689
562	885	687
563	886	685
564	888	683
565	889	682
566	891	680
567	892	679
568	894	677
569	895	675
570	896	673
571	898	672
572	899	670
573	900	668
574	901	666
575	903	664
576	904	663
577	906	661
578	907	659
579	908	657
580	910	656
581	911	654
582	912	652
583	913	651
584	915	649
585	916	647
586	917	645
587	919	644
588	920	642
589	921	640
590	922	638
591	924	637
592	925	635
593	926	633
594	928	631
595	929	630
596	930	628
597	932	626
598	933	625
599	935	623
600	936	621
601	937	620
602	939	618
603	940	616
604	941	615
605	943	613
606	944	611
607	945	609
608	947	608
609	948	606
610	949	604
611	951	603
612	952	601
613	953	599
614	955	597
615	956	596
616	957	594
617	959	592
618	960	591
619	962	589
620	963	588
621	965	586
622	966	584
623	967	583
624	968	581
625	970	579
626	971	577
627	972	576
628	974	574
629	975	573
630	977	571
631	978	569
632	980	568
633	981	566
634	982	564
635	983	563
636	985	561
637	986	559
638	987	558
639	989	556
640	990	554
641	991	553
642	993	551
643	994	549
644	995	548
645	997	546
646	998	544
647	999	542
648	1000	541
649	1002	539
650	1003	538
651	1005	536
652	1006	535
653	1008	533
654	1009	531
655	1010	530
656	1012	528
657	1013	526
658	1015	525
659	1016	523
660	1018	522
661	1019	520
662	1020	518
663	1022	517
664	1023	515
665	1024	514
666	1026	512
667	1027	510
668	1028	509
669	1030	507
670	1031	505
671	1033	504
672	1034	502
673	1035	501
674	1037	499
675	1038	497
676	1040	496
677	1041	494
678	1042	493
679	1044	491
680	1045	489
681	1047	488
682	1048	486
683	1050	485
684	1051	483
685	1053	482
686	1054	480
687	1055	478
688	1057	477
689	1058	475
690	1060	474
691	1061	472
692	1062	470
693	1064	469
694	1065	467
695	1066	466
696	1068	464
697	1069	462
698	1070	461
699	1072	459
700	1073	457
701	1074	456
702	1076	454
703	1077	453
704	1078	451
705	1079	449
706	1081	448
707	1082	446
708	1083	444
709	1085	443
710	1086	441
711	1088	440
712	1089	438
713	1090	436
714	1091	435
715	1093	433
716	1094	431
717	1095	430
718	1097	428
719	1098	427
720	1099	425
721	1101	423
722	1102	422
723	1104	420
724	1105	419
725	1106	417
726	1107	415
727	1109	414
728	1110	412
729	1111	411
730	1112	409
731	1114	407
732	1115	406
733	1116	404
734	1118	403
735	1119	401
736	1120	399
737	1121	398
738	1123	396
739	1124	395
740	1125	393
741	1127	391
742	1128	390
743	1129	388
744	1131	387
745	1132	385
746	1133	383
747	1134	382
748	1136	380
749	1137	379
750	1138	377
751	1140	376
752	1141	374
753	1143	373
754	1144	371
755	1146	369
756	1147	368
